,Event ID,Date,Short Name,Name,Date Time,Fight Number,Fight ID,Card Segment,Referee,Result Type,Winner ID,Red Fighter Name,Blue Fighter Name,American Odd that Red Fighter Will Win,American Odd that Blue Fighter Will Win,Location,Country,Winner of the Fight,Title Bout?,Weight Class,Number of Rounds in Fight,Blue Significant Strikes Landed/min,Blue Significant Striking Accuracy,Blue Average Submissions Attempted/15min,Blue Average Takedowns Landed/15min,Blue Takedown Accuracy,Red Significant Strikes Landed/min,Red Significant Striking Accuracy,Red Average Submissions Attempted/15min,Red Average Takedowns Landed/15min,Red Takedown Accuracy
17,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,6,1164,Prelims,Jacob Montalvo,Scrambled,140000353.0,Valentina Shevchenko,Katlyn Chookagian,-920,610,"Houston, Texas, USA", USA,Red,True,Women's Flyweight,5,4.35,0.32,0.1,0.0,0.0,3.02,0.49,0.4,1.94,0.51
18,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,7,1168,Prelims,Jeff Rexroad,Scrambled,140000517.0,Valentina Shevchenko,Katlyn Chookagian,-920,610,"Houston, Texas, USA", USA,Red,True,Women's Flyweight,5,4.35,0.32,0.1,0.0,0.0,3.02,0.49,0.4,1.94,0.51
19,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,8,1253,Prelims,Kerry Hatley,Scrambled,140000894.0,Valentina Shevchenko,Katlyn Chookagian,-920,610,"Houston, Texas, USA", USA,Red,True,Women's Flyweight,5,4.35,0.32,0.1,0.0,0.0,3.02,0.49,0.4,1.94,0.51
20,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,9,1252,Prelims,Dan Miragliotta,Scrambled,140000008.0,Valentina Shevchenko,Katlyn Chookagian,-920,610,"Houston, Texas, USA", USA,Red,True,Women's Flyweight,5,4.35,0.32,0.1,0.0,0.0,3.02,0.49,0.4,1.94,0.51
22,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,11,1263,Early Prelims,Kerry Hatley,Scrambled,140000419.0,Valentina Shevchenko,Katlyn Chookagian,-920,610,"Houston, Texas, USA", USA,Red,True,Women's Flyweight,5,4.35,0.32,0.1,0.0,0.0,3.02,0.49,0.4,1.94,0.51
23,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,12,1298,Early Prelims,Jeff Rexroad,Scrambled,140000895.0,Valentina Shevchenko,Katlyn Chookagian,-920,610,"Houston, Texas, USA", USA,Red,True,Women's Flyweight,5,4.35,0.32,0.1,0.0,0.0,3.02,0.49,0.4,1.94,0.51
24,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,1,1171,Main Card,Dan Miragliotta,Scrambled,140000146.0,Juan Adams,Justin Tafa,-240,200,"Houston, Texas, USA", USA,Blue,False,Heavyweight,3,2.77,0.66,0.0,0.0,0.0,7.32,0.55,0.0,0.97,0.66
25,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,2,1170,Main Card,Jacob Montalvo,Scrambled,140000402.0,Juan Adams,Justin Tafa,-240,200,"Houston, Texas, USA", USA,Blue,False,Heavyweight,3,2.77,0.66,0.0,0.0,0.0,7.32,0.55,0.0,0.97,0.66
26,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,3,1167,Main Card,Jeff Rexroad,Scrambled,140000627.0,Juan Adams,Justin Tafa,-240,200,"Houston, Texas, USA", USA,Blue,False,Heavyweight,3,2.77,0.66,0.0,0.0,0.0,7.32,0.55,0.0,0.97,0.66
27,105,2020-02-08,UFC 247,UFC 247: Jones vs. Reyes,2020-02-08T18:30:00,4,1166,Main Card,Kerry Hatley,Scrambled,140000178.0,Juan Adams,Justin Tafa,-240,200,"Houston, Texas, USA", USA,Blue,False,Heavyweight,3,2.77,0.66,0.0,0.0,0.0,7.32,0.55,0.0,0.97,0.66
